inic_edo,nom_edo,nombre,tipo_elec,onomastico,suplente,edo,ent,ent_2,correo,ext
aptz_quintana roo,adrianapaulinateissierzavala_quintana roo,Dip. Adriana Paulina Teissier Zavala,Mayoria Relativa,20-jul-67,Isela Betzabe Zetina Molina,Quintana Roo,Distrito:1,G-235,adriana.teissier@diputados.gob.mx,61853
cppo_quintana roo,carmenpatriciapalmaolvera_quintana roo,Dip. Carmen Patricia Palma Olvera,Mayoria Relativa,13-ene-58,Erika Edith Lopez Lara,Quintana Roo,Distrito:2,L-440,carmen.palma@diputados.gob.mx,61565
mcav_quintana roo,mildredconcepcionavilavera_quintana roo,Dip. Mildred Concepcion Avila Vera,Mayoria Relativa,05-dic-65,Ruby Marivel Canto Rosado,Quintana Roo,Distrito:3,L-439,mildred.avila@diputados.gob.mx,61382
jdlapm_quintana roo,jesusdelosangelespoolmoo_quintana roo,Dip. Jesus de los Angeles Pool Moo (LICENCIA),Mayoria Relativa,22-dic-69,Victor Gilberto Aguilar Espinosa(en funciones),Quintana Roo,Distrito:4,K-378,jesus.pool@diputados.gob.mx,61376
msrm_san luis potosi,ma.sararochamedina_san luis potosi,Dip. Ma. Sara Rocha Medina,Mayoria Relativa,09-oct-67,Maria del Carmen Mata Valenzuela,San Luis Potosi,Distrito:1,P-502,sara.rocha@diputados.gob.mx,8268
jrgc_san luis potosi,josericardogallardocardona_san luis potosi,Dip. Jose Ricardo Gallardo Cardona,Mayoria Relativa,18-nov-80,Raul Ivan Lopez Guzman,San Luis Potosi,Distrito:2,J-336,ricardo.gallardo@diputados.gob.mx,8395
obv_san luis potosi,oscarbautistavillegas_san luis potosi,Dip. Oscar Bautista Villegas,Mayoria Relativa,06-feb-64,Rodolfo Isaac Monsivais Morquecho,San Luis Potosi,Distrito:3,H-254,oscar.bautista@diputados.gob.mx,59620
jrde_san luis potosi,josericardodelsolestrada_san luis potosi,Dip. Jose Ricardo Delsol Estrada,Mayoria Relativa,29-mar-64,Antolin Guerrero Marquez,San Luis Potosi,Distrito:4,M-486,josericardo.delsol@diputados.gob.mx,61579
jsb_san luis potosi,josefinasalazarbaez_san luis potosi,Dip. Josefina Salazar Baez,Mayoria Relativa,29-ene-74,Zaira Rivera Hervert,San Luis Potosi,Distrito:5,H-244,josefina.salazar@diputados.gob.mx,59956
mgap_san luis potosi,ma.guadalupealmaguerpardo_san luis potosi,Dip. Ma. Guadalupe Almaguer Pardo (LICENCIA),Mayoria Relativa,26-ago-61,Leticia Martinez Gomez(en funciones),San Luis Potosi,Distrito:6,L-418,guadalupe.almaguer@diputados.gob.mx,55119
mrh_san luis potosi,marcelinoriverahernandez_san luis potosi,Dip. Marcelino Rivera Hernandez,Mayoria Relativa,26-abr-84,Juan Marcos Garcia Hernandez,San Luis Potosi,Distrito:7,F-163,marcelino.rivera@diputados.gob.mx,59887
m_sinaloa,maximiliano(deceso)ruizarias_sinaloa,Dip. Maximiliano (Deceso) Ruiz Arias (LICENCIA),Mayoria Relativa,16-jul-46,Jose Mario Osuna Medina(en funciones),Sinaloa,Distrito:1,J-363,maximiliano.ruiz@diputados.gob.mx,61700
jjms_sinaloa,josejaimemontessalas_sinaloa,Dip. Jose Jaime Montes Salas (LICENCIA),Mayoria Relativa,20-feb-54,Carlos Ivan Ayala Bobadilla(en funciones),Sinaloa,Distrito:2,I-324,jaime.montes@diputados.gob.mx,61652
jfgh_sinaloa,jesusfernandogarciahernandez_sinaloa,Dip. Jesus Fernando Garcia Hernandez,Mayoria Relativa,30-may-58,Willian Demirel Salazar Serrano,Sinaloa,Distrito:3,J-367,jesus.garcia@diputados.gob.mx,61654
czv_sinaloa,casimirozamoravaldez_sinaloa,Dip. Casimiro Zamora Valdez,Mayoria Relativa,15-nov-58,Jose de Jesus Pacheco Ruiz,Sinaloa,Distrito:4,J-364,casimiro.zamora@diputados.gob.mx,61644
nysm_sinaloa,nancyyadirasantiagomarcos_sinaloa,Dip. Nancy Yadira Santiago Marcos,Mayoria Relativa,04-may-80,Guadalupe Raquel de la Paz Aguirre,Sinaloa,Distrito:5,J-365,yadira.marcos@diputados.gob.mx,61667
ocm_sinaloa,olegariacarrazcomacias_sinaloa,Dip. Olegaria Carrazco Macias,Mayoria Relativa,12-abr-60,Amalia Garcia Martinez,Sinaloa,Distrito:6,J-366,olegaria.carrazco@diputados.gob.mx,61696
mvs_sinaloa,meraryvillegassanchez_sinaloa,Dip. Merary Villegas Sanchez (LICENCIA),Mayoria Relativa,20-abr-87,Ana Alicia Cervantes Contreras(en funciones),Sinaloa,Distrito:7,J-361,merary.villegas@diputados.gob.mx,61698
mdjba_sonora,manueldejesusbaldenebroarredondo_sonora,Dip. Manuel de Jesus Baldenebro Arredondo (LICENCIA),Mayoria Relativa,13-may-62,Abraham David Mier Nogales,Sonora,Distrito:1,G-237,manuel.baldenebro@diputados.gob.mx,61826
agge_sonora,anagabrielaguevaraespinoza_sonora,Dip. Ana Gabriela Guevara Espinoza (LICENCIA),Mayoria Relativa,04-mar-77,Ana Laura Bernal Camarena(en funciones),Sonora,Distrito:2,D-118,ana.guevara@diputados.gob.mx,53082
livs_sonora,loreniaivethvallessampedro_sonora,Dip. Lorenia Iveth Valles Sampedro,Mayoria Relativa,18-dic-76,Marina Gomez Sanchez,Sonora,Distrito:3,K-409,lorenia.valles@diputados.gob.mx,61529
hmac_sonora,heribertomarceloaguilarcastillo_sonora,Dip. Heriberto Marcelo Aguilar Castillo,Mayoria Relativa,12-feb-75,Ramon Angel Valdez Mendoza,Sonora,Distrito:4,K-405,heriberto.aguilar@diputados.gob.mx,61535
mwbz_sonora,mariawendybricenozuloaga_sonora,Dip. Maria Wendy Briceno Zuloaga,Mayoria Relativa,15-sep-78,Lilian Margarita Navarro Lucero,Sonora,Distrito:5,K-408,maria.briceno@diputados.gob.mx,61527
cjlc_sonora,carlosjavierlamarquecano_sonora,Dip. Carlos Javier Lamarque Cano (LICENCIA),Mayoria Relativa,01-ago-53,Fernando Gonzalez Meza(en funciones),Sonora,Distrito:6,K-406,javier.lamarque@diputados.gob.mx,61531
hgm_sonora,hildelisagonzalezmorales_sonora,Dip. Hildelisa Gonzalez Morales,Mayoria Relativa,22-dic-56,Rosa Carmina Ruiz Millan,Sonora,Distrito:7,C-080,hildelisa.gonzalez@diputados.gob.mx,62054
ena_tabasco,estelanunezalvarez_tabasco,Dip. Estela Nunez Alvarez,Mayoria Relativa,16-ago-56,Dolores del Carmen Zubieta Ruiz,Tabasco,Distrito:1,M-482,estela.nunez@diputados.gob.mx,61110
tbc_tabasco,teresaburelocortazar_tabasco,Dip. Teresa Burelo Cortazar,Mayoria Relativa,01-mar-56,Maria Reyna Rangel Izquierdo,Tabasco,Distrito:2,M-483,teresa.burelo@diputados.gob.mx,61171
geem_tabasco,gregorioefrainespadasmendez_tabasco,Dip. Gregorio Efrain Espadas Mendez (LICENCIA),Mayoria Relativa,26-oct-48,Roberto Calix Marin(en funciones),Tabasco,Distrito:3,M-480,gregorio.espadas@diputados.gob.mx,61173
mrg_tabasco,manuelrodriguezgonzalez_tabasco,Dip. Manuel Rodriguez Gonzalez,Mayoria Relativa,26-oct-66,Luis Arcadio Gutierrez Leon,Tabasco,Distrito:4,M-479,manuel.rodriguez@diputados.gob.mx,61175
lpam_tabasco,laurapatriciaavalosmagana_tabasco,Dip. Laura Patricia Avalos Magana,Mayoria Relativa,21-may-74,Maria Luisa Somellera Corrales,Tabasco,Distrito:5,M-484,laura.avalos@diputados.gob.mx,61178
rdlpm_tabasco,ricardodelapenamarshall_tabasco,Dip. Ricardo De la Pena Marshall,Mayoria Relativa,17-feb-64,David Eduardo Leon Romero,Tabasco,Distrito:6,G-236,ricardo.delapena@diputados.gob.mx,61883
jsrq_tamaulipas,josesalvadorrosasquintanilla_tamaulipas,Dip. Jose Salvador Rosas Quintanilla,Mayoria Relativa,22-ene-61,Manuel Canales Bermea,Tamaulipas,Distrito:1,A-004,jose.rosas@diputados.gob.mx,59890
ojeg_tamaulipas,olgajulianaelizondoguerra_tamaulipas,Dip. Olga Juliana Elizondo Guerra,Mayoria Relativa,21-may-65,Zoraida Lara Cruz,Tamaulipas,Distrito:2,A-021,olga.elizondo@diputados.gob.mx,67892
hjvg_tamaulipas,hectorjoelvillegasgonzalez_tamaulipas,Dip. Hector Joel Villegas Gonzalez (LICENCIA),Mayoria Relativa,09-may-79,Silvestre Resendez Munoz(en funciones),Tamaulipas,Distrito:3,B-048,hector.villegas@diputados.gob.mx,61861
alr_tamaulipas,adrianalozanorodriguez_tamaulipas,Dip. Adriana Lozano Rodriguez,Mayoria Relativa,26-jun-69,Erika Georgina Lara Vazquez,Tamaulipas,Distrito:4,F-196,adriana.lozano@diputados.gob.mx,61808
mart_tamaulipas,marioalbertoramostamez_tamaulipas,Dip. Mario Alberto Ramos Tamez (LICENCIA),Mayoria Relativa,03-abr-86,Juan Alejandro Rivera Torres(en funciones),Tamaulipas,Distrito:5,I-286,mario.ramos@diputados.gob.mx,62648
vjvo_tamaulipas,vicentejavierverasteguiostos_tamaulipas,Dip. Vicente Javier Verastegui Ostos (LICENCIA),Mayoria Relativa,03-sep-63,Eloy Martinez Carrizales(en funciones),Tamaulipas,Distrito:6,H-248,vicente.verastegui@diputados.gob.mx,59918
egr_tamaulipas,erasmogonzalezrobledo_tamaulipas,Dip. Erasmo Gonzalez Robledo,Mayoria Relativa,28-jun-72,Juan Dionisio Cruz Guerrero,Tamaulipas,Distrito:7,K-403,erasmo.gonzalez@diputados.gob.mx,61613
opsr_tamaulipas,olgapatriciasosaruiz_tamaulipas,Dip. Olga Patricia Sosa Ruiz (LICENCIA),Mayoria Relativa,22-sep-74,Alba Silvia Garcia Paredes(en funciones),Tamaulipas,Distrito:8,E-155,olga.sosa@diputados.gob.mx,61867
ajzz_tamaulipas,armandojavierzertuchezuani_tamaulipas,Dip. Armando Javier Zertuche Zuani (LICENCIA),Mayoria Relativa,27-nov-57,Fernando Lopez Gomez,Tamaulipas,Distrito:9,K-404,armando.zertuche@diputados.gob.mx,62044
jdllss_tlaxcala,josedelaluzsosasalinas_tlaxcala,Dip. Jose de la Luz Sosa Salinas,Mayoria Relativa,25-may-66,Juan Antonio Martinez Ceron,Tlaxcala,Distrito:1,A-020,jose.sosa@diputados.gob.mx,62114
rta_tlaxcala,rubenteranaguila_tlaxcala,Dip. Ruben Teran Aguila,Mayoria Relativa,09-ago-81,Luis Antonio Herrera Perez,Tlaxcala,Distrito:2,H-266,ruben.teran@diputados.gob.mx,61346
lcc_tlaxcala,lorenacuellarcisneros_tlaxcala,Dip. Lorena Cuellar Cisneros (LICENCIA),Mayoria Relativa,20-feb-62,Claudia Perez Rodriguez,Tlaxcala,Distrito:3,H-265,lorena.cuellar@diputados.gob.mx,61348
rge_veracruz,ricardogarciaescalante_veracruz,Dip. Ricardo Garcia Escalante,Mayoria Relativa,02-may-81,Alvaro Soto Martinez,Veracruz,Distrito:1,C-056,rgarcia.escalante@diputados.gob.mx,59914
jga_veracruz,jesusguzmanaviles_veracruz,Dip. Jesus Guzman Aviles,Mayoria Relativa,25-dic-61,Armando Fernandez de la Cruz,Veracruz,Distrito:2,G-203,jguzman.aviles@diputados.gob.mx,59918
mbes_veracruz,mariaberthaespinozasegura_veracruz,Dip. Maria Bertha Espinoza Segura,Mayoria Relativa,15-nov-57,Santa Veronica Marquez Dominguez,Veracruz,Distrito:3,M-476,bertha.espinoza@diputados.gob.mx,61508
rfez_veracruz,ricardofranciscoexsomezapata_veracruz,Dip. Ricardo Francisco Exsome Zapata,Mayoria Relativa,28-sep-63,Francisco Javier Lorenzo Cabrera,Veracruz,Distrito:4,M-478,ricardo.exsome@diputados.gob.mx,61414
rbh_veracruz,raquelbonillaherrera_veracruz,Dip. Raquel Bonilla Herrera,Mayoria Relativa,17-mar-84,Maria Guadalupe Bello Trejo,Veracruz,Distrito:5,M-472,raquel.bonilla@diputados.gob.mx,61454
jhpb_veracruz,jaimehumbertoperezbernabe_veracruz,Dip. Jaime Humberto Perez Bernabe,Mayoria Relativa,15-abr-73,Ricardo Cabanas Vazquez,Veracruz,Distrito:6,K-386,jaime.perez@diputados.gob.mx,61394
rcs_veracruz,rodrigocalderonsalas_veracruz,Dip. Rodrigo Calderon Salas,Mayoria Relativa,05-abr-58,Enrique Capetillo Gonzalez,Veracruz,Distrito:7,K-392,rodrigo.calderon@diputados.gob.mx,61442
cte_veracruz,claudiatelloespinosa_veracruz,Dip. Claudia Tello Espinosa,Mayoria Relativa,16-oct-64,--- --- ---,Veracruz,Distrito:8,K-388,claudia.tello@diputados.gob.mx,61512
cmg_veracruz,carmenmoragarcia_veracruz,Dip. Carmen Mora Garcia,Mayoria Relativa,14-jul-52,Maria Laura Garcia Gomez,Veracruz,Distrito:9,L-434,carmen.mora@diputados.gob.mx,61516
rhv_veracruz,rafaelhernandezvillalpando_veracruz,Dip. Rafael Hernandez Villalpando,Mayoria Relativa,08-nov-47,Guillermo Fernandez Sanchez,Veracruz,Distrito:10,M-477,rafael.hernandezv@diputados.gob.mx,61444
ftcs_veracruz,florataniacruzsantos_veracruz,Dip. Flora Tania Cruz Santos,Mayoria Relativa,27-ene-78,Celica Segura Toledo,Veracruz,Distrito:11,M-475,flora.cruz@diputados.gob.mx,61448
mdgr_veracruz,marianadunyaskagarciarojas_veracruz,Dip. Mariana Dunyaska Garcia Rojas,Mayoria Relativa,29-oct-74,Ana Gabriela Pantoja Andrade,Veracruz,Distrito:12,K-372,dunyaska.garcia@diputados.gob.mx,59885-8310
eas_veracruz,eleuterioarrietasanchez_veracruz,Dip. Eleuterio Arrieta Sanchez,Mayoria Relativa,02-may-55,Ramon Pino Mendez,Veracruz,Distrito:13,M-473,eleuterio.arrieta@diputados.gob.mx,61396
cmp_veracruz,carmenmedelpalma_veracruz,Dip. Carmen Medel Palma,Mayoria Relativa,26-sep-59,Mariela Hernandez Garcia,Veracruz,Distrito:14,L-433,carmen.medel@diputados.gob.mx,61400
dmcvg_veracruz,dulcemariacorinavillegasguarneros_veracruz,Dip. Dulce Maria Corina Villegas Guarneros,Mayoria Relativa,24-dic-66,Nury Yareli Aguilar Morales,Veracruz,Distrito:15,M-471,dulce.villegas@diputados.gob.mx,61454
jmf_veracruz,juanmartinezflores_veracruz,Dip. Juan Martinez Flores,Mayoria Relativa,03-abr-56,Jose Ignacio Vazquez Sanchez,Veracruz,Distrito:16,L-432,jmartinez.flores@diputados.gob.mx,61408
vrl_veracruz,valentinreyeslopez_veracruz,Dip. Valentin Reyes Lopez,Mayoria Relativa,13-feb-52,Abel Maza Dominguez,Veracruz,Distrito:17,K-393,valentin.reyes@diputados.gob.mx,61518
bal_veracruz,bonifacioaguilarlinda_veracruz,Dip. Bonifacio Aguilar Linda,Mayoria Relativa,08-may-76,Feliciano Romero Martinez,Veracruz,Distrito:18,L-431,bonifacio.aguilar@diputados.gob.mx,61406
pta_veracruz,paolatenorioadame_veracruz,Dip. Paola Tenorio Adame,Mayoria Relativa,20-abr-66,Andrea Doria Ortiz Aguirre,Veracruz,Distrito:19,K-389,paola.tenorio@diputados.gob.mx,61521
ejrf_veracruz,eulaliojuanriosfararoni_veracruz,Dip. Eulalio Juan Rios Fararoni,Mayoria Relativa,18-abr-65,Hermilo Arista Bonilla,Veracruz,Distrito:20,K-387,eulaliojuan.rios@diputados.gob.mx,61398
jcvp_yucatan,jesuscarlosvidalpeniche_yucatan,Dip. Jesus Carlos Vidal Peniche,Mayoria Relativa,16-jun-76,Sergio Enrrique Chale Cauich,Yucatan,Distrito:1,K-377,jesus.vidal@diputados.gob.mx,59618
meam_yucatan,mariaesteralonzomorales_yucatan,Dip. Maria Ester Alonzo Morales,Mayoria Relativa,15-ene-59,Guadalupe Elizabeth Zapata Gonzalez,Yucatan,Distrito:2,K-384,maria.alonzo@diputados.gob.mx,59540
rh_yucatan,rogerherve(deceso)aguilarsalazar(protestapendiente)_yucatan,Dip. Roger Herve (Deceso) Aguilar Salazar(protesta pendiente),Mayoria Relativa,12-sep-38,Limbert Ivan de Jesus Interian Gallegos(en funciones),Yucatan,Distrito:3,G-220,,
jela_yucatan,joseeliaslixaabimerhi_yucatan,Dip. Jose Elias Lixa Abimerhi,Mayoria Relativa,28-feb-87,Mario Enmanuel Aragon Castillo,Yucatan,Distrito:4,D-090,elias.lixa@diputados.gob.mx,59954
jjcp_yucatan,juanjosecanulperez_yucatan,Dip. Juan Jose Canul Perez,Mayoria Relativa,08-ene-72,Wilberth Antonio Cach Yah,Yucatan,Distrito:5,H-257,juan.canul@diputados.gob.mx,59424
mzmt_zacatecas,mirnazabeidamaldonadotapia_zacatecas,Dip. Mirna Zabeida Maldonado Tapia,Mayoria Relativa,13-may-69,Amalia Roman Longoria,Zacatecas,Distrito:1,M-485,mirna.maldonado@diputados.gob.mx,61591
lebc_zacatecas,lyndianaelizabethbugarincortes_zacatecas,Dip. Lyndiana Elizabeth Bugarin Cortes,Mayoria Relativa,13-dic-88,Ana Yajaira Felix Rivera,Zacatecas,Distrito:2,H-253,lyndiana.bugarin@diputados.gob.mx,59630
afb_zacatecas,alfredofematbanuelos_zacatecas,Dip. Alfredo Femat Banuelos,Mayoria Relativa,12-ene-61,Miguel Jaquez Salazar,Zacatecas,Distrito:3,F-197,alfredo.femat@diputados.gob.mx,62040
shc_zacatecas,samuelherrerachavez_zacatecas,Dip. Samuel Herrera Chavez,Mayoria Relativa,17-sep-54,Rumaldo Ortiz Herrera,Zacatecas,Distrito:4,L-444,samuel.herrera@diputados.gob.mx,61588
ptb_chihuahua,patriciaterrazasbaca_chihuahua,Dip. Patricia Terrazas Baca,Representacion proporcional,26-sep-66,Perla Paola Adame Torres,Chihuahua,Circunscripcion:1,D-084,patricia.terrazas@diputados.gob.mx,57125
egra_baja california,ernestoguillermoruffoappel_baja california,Dip. Ernesto Guillermo Ruffo Appel,Representacion proporcional,25-jun-52,Victor Ivan Lujano Sarabia,Baja California,Circunscripcion:1,E-123,ernesto.ruffo@diputados.gob.mx,59909
megg_nayarit,marthaelenagarciagomez_nayarit,Dip. Martha Elena Garcia Gomez,Representacion proporcional,03-may-45,Mayela Leonila Godinez Alarcon,Nayarit,Circunscripcion:1,A-001,melena.garcia@diputados.gob.mx,59964
jrma_baja california sur,joserigobertomaresaguilar_baja california sur,Dip. Jose Rigoberto Mares Aguilar,Representacion proporcional,17-feb-81,Armando Fidel Castro Trasvina,Baja California Sur,Circunscripcion:1,E-125,jose.mares@diputados.gob.mx,59901
mba_sonora,madeleinebonnafouxalcaraz_sonora,Dip. Madeleine Bonnafoux Alcaraz,Representacion proporcional,31-ene-79,Brenda Lizeth Cordova Buzani,Sonora,Circunscripcion:1,C-057,madeleine.bonnafoux@diputados.gob.mx,59910
jrcp_nayarit,joseramoncamberoperez_nayarit,Dip. Jose Ramon Cambero Perez,Representacion proporcional,27-jun-71,Fernando Jesus Sanchez Zatarain,Nayarit,Circunscripcion:1,I-288,jose.cambero@diputados.gob.mx,59889
lml_baja california,lizbethmatalozano_baja california,Dip. Lizbeth Mata Lozano,Representacion proporcional,10-ene-84,Monica Janette Palomarez Ching,Baja California,Circunscripcion:1,I-292,lizbeth.mata@diputados.gob.mx,59884
chcv_sinaloa,carloshumbertocastanosvalenzuela_sinaloa,Dip. Carlos Humberto Castanos Valenzuela,Representacion proporcional,14-abr-77,Jose De Jesus Rojas Rivera,Sinaloa,Circunscripcion:1,C-051,carlos.castanos@diputados.gob.mx,59908
mlc_sonora,manuellopezcastillo_sonora,Dip. Manuel Lopez Castillo,Representacion proporcional,12-feb-48,Esteban Cabrera Meda,Sonora,Circunscripcion:1,K-407,manuel.lopez@diputados.gob.mx,61573
vbjp_jalisco,veronicabeatrizjuarezpina_jalisco,Dip. Veronica Beatriz Juarez Pina,Representacion proporcional,28-sep-71,Beatriz Selene Zamora Romero,Jalisco,Circunscripcion:1,M-463,veronica.juarez@diputados.gob.mx,55121
itbp_jalisco,itzcoatltonatiuhbravopadilla_jalisco,Dip. Itzcoatl Tonatiuh Bravo Padilla (LICENCIA),Representacion proporcional,07-feb-60,Enrique Israel Medina Torres,Jalisco,Circunscripcion:1,D-093,tonatiuhb@diputados.gob.mx,62603
mazm_jalisco,marthaangelicazamudiomacias_jalisco,Dip. Martha Angelica Zamudio Macias,Representacion proporcional,24-feb-57,Michelle Estefania Murguia Puga,Jalisco,Circunscripcion:1,E-129,martha.zamudio@diputados.gob.mx,62638
jagl_baja california,jorgealcibiadesgarcialara_baja california,Dip. Jorge Alcibiades Garcia Lara,Representacion proporcional,05-ago-69,Diego Mejia Ibanez,Baja California,Circunscripcion:1,C-059,jorge.garcia@diputados.gob.mx,62620
mlga_jalisco,marialibiergonzalezanaya_jalisco,Dip. Maria Libier Gonzalez Anaya,Representacion proporcional,27-mar-54,Elvia Yolanda Martinez Cosio,Jalisco,Circunscripcion:1,B-030,libier.gonzalez@diputados.gob.mx,62640
jers_sonora,jorgeeugeniorussosalido_sonora,Dip. Jorge Eugenio Russo Salido (LICENCIA),Representacion proporcional,19-dic-69,Jose Eduardo Esquer Escobar(en funciones),Sonora,Circunscripcion:1,B-032,jorge.russo@diputados.gob.mx,62652
bmh_baja california,benitomedinaherrera_baja california,Dip. Benito Medina Herrera,Representacion proporcional,05-jun-50,Diego Aguilar,Baja California,Circunscripcion:1,C-064,benito.medina@diputados.gob.mx,59504
lesm_sinaloa,lourdeserikasanchezmartinez_sinaloa,Dip. Lourdes Erika Sanchez Martinez (LICENCIA),Representacion proporcional,29-sep-80,Reynalda Berenice Alcalde Castro,Sinaloa,Circunscripcion:1,C-066,erika.sanchez@diputados.gob.mx,59460
ava_sinaloa,alfredovillegasarreola_sinaloa,Dip. Alfredo Villegas Arreola,Representacion proporcional,12-ene-51,Ricardo Barroso Agramont,Sinaloa,Circunscripcion:1,E-136,alfredo.villegas@diputados.gob.mx,59448
imtv_sonora,irmamariateranvillalobos_sonora,Dip. Irma Maria Teran Villalobos,Representacion proporcional,12-nov-85,Jeanette Arrizon Marina,Sonora,Circunscripcion:1,D-099,irma.teran@diputados.gob.mx,61800
igc_baja california sur,isaiasgonzalezcuevas_baja california sur,Dip. Isaias Gonzalez Cuevas,Representacion proporcional,06-jul-40,Jose David Alfaro Pagaza,Baja California Sur,Circunscripcion:1,E-139,isaias.gonzalez@diputados.gob.mx,4130
hmlnq_jalisco,hortensiamarialuisanoronaquezada_jalisco,Dip. Hortensia Maria Luisa Norona Quezada (LICENCIA),Representacion proporcional,19-oct-76,Guadalupe Janneth Moreno Arguelles(en funciones),Jalisco,Circunscripcion:1,A-009,hortensia.norona@diputados.gob.mx,59520
iahd_durango,ismaelalfredohernandezderas_durango,Dip. Ismael Alfredo Hernandez Deras,Representacion proporcional,20-feb-64,Cristopher Daniel James Barousse,Durango,Circunscripcion:1,F-177,alfredo.hernandez@diputados.gob.mx,59425
mfs_nayarit,margaritafloressanchez_nayarit,Dip. Margarita Flores Sanchez (LICENCIA),Representacion proporcional,10-dic-61,Miriam Del Sol Merino Cuevas(en funciones),Nayarit,Circunscripcion:1,C-063,margarita.flores@diputados.gob.mx,59522
emru_sinaloa,erikamarianarosasuribe_sinaloa,Dip. Erika Mariana Rosas Uribe,Representacion proporcional,09-ene-84,Mariana Cosio Valdes,Sinaloa,Circunscripcion:1,J-337,erika.rosas@diputados.gob.mx,61694
maga_sinaloa,marcoantoniogomezalcantar_sinaloa,Dip. Marco Antonio Gomez Alcantar,Representacion proporcional,18-abr-72,Misael Sanchez Sanchez,Sinaloa,Circunscripcion:1,I-294,antonio.gomez@diputados.gob.mx,59616
vrc_jalisco,veronicaramoscruz_jalisco,Dip. Veronica Ramos Cruz,Representacion proporcional,01-may-85,Rosa Maria Cardona Alegria,Jalisco,Circunscripcion:1,L-457,veronica.ramos@diputados.gob.mx,61322
macm_sonora,marcoantoniocarbajalmiranda_sonora,Dip. Marco Antonio Carbajal Miranda (LICENCIA),Representacion proporcional,26-sep-59,J Felix Vargas Aldiano(en funciones),Sonora,Circunscripcion:1,J-360,marco.carbajal@diputados.gob.mx,61533
tcc_sinaloa,tatianaclouthiercarrillo_sinaloa,Dip. Tatiana Clouthier Carrillo (LICENCIA),Representacion proporcional,12-ago-64,Maria Del Carmen Almeida Navarro(en funciones),Sinaloa,Circunscripcion:1,I-310,tatiana.clouthier@diputados.gob.mx,61108
mamg_jalisco,miguelangelmarquezgonzalez_jalisco,Dip. Miguel Angel Marquez Gonzalez,Representacion proporcional,21-oct-62,Jose Manuel Martin Gomez,Jalisco,Circunscripcion:1,M-496,miguel.marquez@diputados.gob.mx,61630
cyrm_nayarit,carminayadiraregaladomardueno_nayarit,Dip. Carmina Yadira Regalado Mardueno (LICENCIA),Representacion proporcional,06-nov-67,Maria De Jesus Aguirre Barradas(en funciones),Nayarit,Circunscripcion:1,H-282,carmina.regalado@diputados.gob.mx,61605
fjgdlt_jalisco,franciscojavierguzmandelatorre_jalisco,Dip. Francisco Javier Guzman De La Torre,Representacion proporcional,29-ago-44,Neri Eduardo Maciel Hernandez,Jalisco,Circunscripcion:1,M-499,javier.guzman@diputados.gob.mx,61640
mtlp_jalisco,mariateresalopezperez_jalisco,Dip. Maria Teresa Lopez Perez,Representacion proporcional,30-dic-40,Leticia Perez Rodriguez,Jalisco,Circunscripcion:1,M-497,teresa.lopez@diputados.gob.mx,61638
sab_chihuahua,sebastianaguilerabrenes_chihuahua,Dip. Sebastian Aguilera Brenes,Representacion proporcional,10-jun-95,Jorge Ariff Marave Sanchez,Chihuahua,Circunscripcion:1,J-369,sebastian.aguilera@diputados.gob.mx,61243
mcpm_nayarit,miriamcitlallyperezmackintosh_nayarit,Dip. Miriam Citlally Perez Mackintosh,Representacion proporcional,20-nov-67,Claudia Ramona Moreno Salas,Nayarit,Circunscripcion:1,H-281,miriam.perez@diputados.gob.mx,61624
avv_jalisco,albertovillavillegas_jalisco,Dip. Alberto Villa Villegas,Representacion proporcional,25-oct-72,Ismael Miranda Ornelas,Jalisco,Circunscripcion:1,L-438,alberto.villa@diputados.gob.mx,61320
lss_sinaloa,lucindasandovalsoberanes_sinaloa,Dip. Lucinda Sandoval Soberanes,Representacion proporcional,18-feb-80,Damaris Osuna Zavala,Sinaloa,Circunscripcion:1,J-362,lucinda.sandoval@diputados.gob.mx,61646
jcldlr_chihuahua,juancarlosloeradelarosa_chihuahua,Dip. Juan Carlos Loera De La Rosa (LICENCIA),Representacion proporcional,27-abr-69,Francisco Jorge Villarreal Pasaret(en funciones),Chihuahua,Circunscripcion:1,J-371,juan.loera@diputados.gob.mx,61241
kacl_jalisco,katiaalejandracastillolozano_jalisco,Dip. Katia Alejandra Castillo Lozano,Representacion proporcional,20-oct-82,Telma Artemisa Montano Navarro,Jalisco,Circunscripcion:1,M-500,katia.castillo@diputados.gob.mx,61708
erv_chihuahua,efrainrochavega_chihuahua,Dip. Efrain Rocha Vega,Representacion proporcional,12-may-55,Jorge Valdez Anaya,Chihuahua,Circunscripcion:1,K-413,efrain.rocha@diputados.gob.mx,61234
mprl_baja california,marthapatriciaramirezlucero_baja california,Dip. Martha Patricia Ramirez Lucero,Representacion proporcional,03-sep-52,Izhaleth Ireri Angulo Castaneda,Baja California,Circunscripcion:1,K-412,martha.ramirez@diputados.gob.mx,61366
rgg_nuevo leon,raulgraciaguzman_nuevo leon,Dip. Raul Gracia Guzman,Representacion proporcional,20-feb-75,Tomas David Macias Canales,Nuevo Leon,Circunscripcion:2,H-245,raul.gracia@diputados.gob.mx,59909
mmtp_queretaro,mariamarcelatorrespeimbert_queretaro,Dip. Maria Marcela Torres Peimbert,Representacion proporcional,07-oct-61,Maria Fernanda Gatica Garza,Queretaro,Circunscripcion:2,J-333,marcela.torres@diputados.gob.mx,59888
